iter	Passed	Remaining
0	0	91
1	1	88
2	2	80
3	3	73
4	3	71
5	4	68
6	4	66
7	5	64
8	6	63
9	6	62
10	7	61
11	8	60
12	8	59
13	9	58
14	10	57
15	10	57
16	11	56
17	12	55
18	12	54
19	13	53
20	14	53
21	14	52
22	15	51
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	30
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	64	0
